language,description,url
abap,ABAP,https://community.sap.com/topics/abap
abnf,ABNF,http://www.ietf.org/rfc/rfc7405.txt
actionscript,ActionScript,https://en.wikipedia.org/wiki/ActionScript
actionscript3,ActionScript 3,https://help.adobe.com/en_US/FlashPlatform/reference/actionscript/3/index.html
ada,Ada,https://www.adaic.org
adl,ADL,https://specifications.openehr.org/releases/AM/latest/ADL2.html
agda,Agda,http://wiki.portal.chalmers.se/agda/pmwiki.php
aheui,Aheui,http://aheui.github.io/
alloy,Alloy,http://alloy.mit.edu
ambienttalk,AmbientTalk,https://code.google.com/p/ambienttalk
amdgpu,AMDGPU,https://gpuopen.com/amd-isa-documentation
ampl,Ampl,http://ampl.com/
androidbp,Soong,https://source.android.com/docs/setup/reference/androidbp
ansys,ANSYS parametric design language,https://www.ansys.com
antlr,ANTLR,https://www.antlr.org
antlr-actionscript,ANTLR With ActionScript Target,https://www.antlr.org
antlr-cpp,ANTLR With CPP Target,https://www.antlr.org
antlr-csharp,ANTLR With C# Target,https://www.antlr.org
antlr-java,ANTLR With Java Target,https://www.antlr.org
antlr-objc,ANTLR With ObjectiveC Target,https://www.antlr.org
antlr-perl,ANTLR With Perl Target,https://www.antlr.org
antlr-python,ANTLR With Python Target,https://www.antlr.org
antlr-ruby,ANTLR With Ruby Target,https://www.antlr.org
apacheconf,ApacheConf,https://httpd.apache.org/docs/current/configuring.html
apl,APL,https://en.m.wikipedia.org/wiki/APL_(programming_language)
applescript,AppleScript,https://developer.apple.com/library/archive/documentation/AppleScript/Conceptual/AppleScriptLangGuide/introduction/ASLR_intro.html
arduino,Arduino,https://isocpp.org/
arrow,Arrow,https://pypi.org/project/py-arrow-lang/
arturo,Arturo,https://arturo-lang.io/
asc,ASCII armored,https://www.openpgp.org
asn1,ASN.1,https://www.itu.int/ITU-T/studygroups/com17/languages/X.680-0207.pdf
aspectj,AspectJ,http://www.eclipse.org/aspectj/
aspx-cs,aspx-cs,https://dotnet.microsoft.com/en-us/apps/aspnet
aspx-vb,aspx-vb,https://dotnet.microsoft.com/en-us/apps/aspnet
asymptote,Asymptote,http://asymptote.sf.net/
augeas,Augeas,http://augeas.net
autohotkey,autohotkey,http://www.autohotkey.com/
autoit,AutoIt,http://www.autoitscript.com/site/autoit/
awk,Awk,https://en.wikipedia.org/wiki/AWK
bare,BARE,https://baremessages.org
basemake,Base Makefile,https://en.wikipedia.org/wiki/Make_(software)
bash,Bash,https://en.wikipedia.org/wiki/Unix_shell
batch,Batchfile,https://en.wikipedia.org/wiki/Batch_file
bbcbasic,BBC Basic,https://www.bbcbasic.co.uk/bbcbasic.html
bbcode,BBCode,https://www.bbcode.org/
bc,BC,https://www.gnu.org/software/bc/
bdd,Bdd,https://en.wikipedia.org/wiki/Behavior-driven_development
